heading;-;-;company_name;-;language;link;original_url;date_posted;date_ends;date_created;date_updated;address;municipality_name;postal_code;-;pageviews_all;-;applyclicks_all;-;-;-;-;-;-;-;-
B2B-asiakasneuvottelija;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799055;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00180 HELSINKI;Helsinki;00180;;7;;0;;1 Muu;;
B2B ja B2C-myynnintekijä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799008;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00120 HELSINKI;Helsinki;00120;;2;;0;;1 Muu;;
Promoottori / ständimyyjä (on tour);;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, myös osa-aika mahdollisuus, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798965;26.12.2018;30.12.2018;27.12.2018;31.12.2018;33101 TAMPERE;Tampere;33101;;18;;0;;1 Muu;;
Promoottori / ständimyyjä (on tour);;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, myös osa-aika mahdollisuus, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798962;26.12.2018;30.12.2018;27.12.2018;31.12.2018;20100 TURKU;Turku;20100;;23;;0;;1 Muu;;
Promoottori;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, myös osa-aika mahdollisuus, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798989;26.12.2018;30.12.2018;27.12.2018;31.12.2018;33840 TAMPERE;Tampere;33840;;18;;1;;1 Muu;;
Myynnillinen promoottori;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, myös osa-aika mahdollisuus, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798987;26.12.2018;30.12.2018;27.12.2018;31.12.2018;20100 TURKU;Turku;20100;;23;;2;;1 Muu;;
Myynnillinen promoottori;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, myös osa-aika mahdollisuus, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798984;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00560 HELSINKI;Helsinki;00560;;14;;0;;1 Muu;;
Myynnillinen promoottori;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, myös osa-aika mahdollisuus, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798966;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00560 HELSINKI;Helsinki;00560;;12;;1;;1 Muu;;
Myyjä;;;Telia Kauppa / Staffpoint Holding Oy;vuokratyöpaikka, 2-vuorotyö, 3 - 6 kk;finnish;;http://paikat.te-palvelut.fi/tpt/9799256;26.12.2018;31.12.2018;27.12.2018;01.01.2019;90100 OULU;Oulu;90100;;33;;1;;1 Muu;;
LVI-remonttiedustaja;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, sopimuksen mukaan., yli 12 kuukautta, sopimuksen mukaan.;finnish;;http://paikat.te-palvelut.fi/tpt/9799006;26.12.2018;30.12.2018;27.12.2018;31.12.2018;33400 TAMPERE;Tampere;33400;;8;;1;;1 Muu;;
LVI-myyntiedustaja;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799048;26.12.2018;30.12.2018;27.12.2018;31.12.2018;80100 JOENSUU;Joensuu;80100;;11;;0;;1 Muu;;
LVI-myyntiedustaja;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799046;26.12.2018;30.12.2018;27.12.2018;31.12.2018;50100 MIKKELI;Mikkeli;50100;;6;;0;;1 Muu;;
LVI-myyntiedustaja;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799031;26.12.2018;30.12.2018;27.12.2018;31.12.2018;70100 KUOPIO;Kuopio;70100;;10;;1;;1 Muu;;
Keittiöremonttimyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799007;26.12.2018;30.12.2018;27.12.2018;31.12.2018;33101 TAMPERE;Tampere;33101;;11;;0;;1 Muu;;
Huonekalumyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799060;26.12.2018;30.12.2018;27.12.2018;31.12.2018;01200 VANTAA;Vantaa;01200;;9;;1;;1 Muu;;
Huonekalumyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799057;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00880 HELSINKI;Helsinki;00880;;11;;0;;1 Muu;;
B2B-Buukkaaja;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799011;26.12.2018;30.12.2018;27.12.2018;31.12.2018;Malminrinne 1 B, 00180 HELSINKI;Helsinki;00180;;7;;0;;1 Muu;;
Vastaanottovirkailija, Levi;;;Staffpoint Holding Oy;vuokratyöpaikka, kokoaikatyö, 6 - 12 kk;finnish;;http://paikat.te-palvelut.fi/tpt/9799133;26.12.2018;30.12.2018;27.12.2018;31.12.2018;Sirkka, 99130 SIRKKA;Kittilä;99130;;19;;0;;1 Muu;;
Sales Assistant;;;Telia / Staffpoint Holding Oy;vuokratyöpaikka, kokoaikatyö, 6 - 12 kk;finnish;;http://paikat.te-palvelut.fi/tpt/9799132;26.12.2018;31.12.2018;27.12.2018;01.01.2019;Teollisuuskatu 15, 00510 HELSINKI;Helsinki;00510;;22;;0;;1 Muu;;
Myyntiedustaja;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799012;26.12.2018;30.12.2018;27.12.2018;31.12.2018;Malminrinne 1 B, 00180 HELSINKI;Helsinki;00180;;12;;0;;1 Muu;;
Kurmanzin tulkki;;;Global Service Finland Oy;muu osa-aikatyö, tarpeen mukaan, yli 12 kuukautta, /sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9799144;26.12.2018;30.12.2018;27.12.2018;31.12.2018;48100 KOTKA;Kotka;48100;;31;;0;;1 Muu;;
LVI-Myyntipäällikkö;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799020;26.12.2018;30.12.2018;27.12.2018;31.12.2018;90550 OULU;Oulu;90550;;9;;0;;1 Muu;;
LVI-Myyntipäällikkö;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799024;26.12.2018;30.12.2018;27.12.2018;31.12.2018;65350 VAASA;Vaasa;65350;;9;;0;;1 Muu;;
LVI-Myyntipäällikkö;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799019;26.12.2018;30.12.2018;27.12.2018;31.12.2018;15700 LAHTI;Lahti;15700;;8;;0;;1 Muu;;
LVI-Myyntipäällikkö;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799016;26.12.2018;30.12.2018;27.12.2018;31.12.2018;20250 TURKU;Turku;20250;;11;;0;;1 Muu;;
Asiakkuuspäällikkö;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9799015;26.12.2018;30.12.2018;27.12.2018;31.12.2018;Malminrinne 1B, 00180 HELSINKI;Helsinki;00180;;32;;1;;1 Muu;;
Sosiaalialan ohjaaja;;;Kalliola Oy;3-vuorotyö, 6 - 12 kk, äitiyslomasijaisuus;finnish;;http://paikat.te-palvelut.fi/tpt/9798881;20.12.2018;31.12.2018;27.12.2018;31.12.2018;Pajupolku 1, 02770 ESPOO;Espoo;02770;;61;;1;;1 Muu;;
Sosiaalialan ohjaaja;;;Kalliola Oy;3-vuorotyö, 6 - 12 kk, opintovapaasijaisuus 31.12.2019 saakka;finnish;;http://paikat.te-palvelut.fi/tpt/9798878;20.12.2018;31.12.2018;27.12.2018;28.12.2018;Pajupolku 1, 02770 ESPOO;Espoo;02770;;21;;0;;1 Muu;;
Urheilun Varainhankkija (kokoaikatyö);;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, 6 - 12 kk, Vakituinen työ;finnish;;http://paikat.te-palvelut.fi/tpt/9798843;26.12.2018;30.12.2018;27.12.2018;31.12.2018;15140 LAHTI;Lahti;15140;;21;;0;;1 Muu;;
Kala-automyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, iltatyö, sopimuksen mukaan, 6 - 12 kk, sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798836;26.12.2018;30.12.2018;27.12.2018;31.12.2018;20100 TURKU;Turku;20100;;39;;2;;1 Muu;;
Kala-automyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, iltatyö, sopimuksen mukaan, 6 - 12 kk, sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798835;26.12.2018;30.12.2018;27.12.2018;31.12.2018;02600 ESPOO;Espoo;02600;;13;;0;;1 Muu;;
Kala-automyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, iltatyö, sopimuksen mukaan, 6 - 12 kk, sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798833;26.12.2018;30.12.2018;27.12.2018;31.12.2018;01300 VANTAA;Vantaa;01300;;8;;0;;1 Muu;;
Kala-automyyjä;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, iltatyö, sopimuksen mukaan, 6 - 12 kk, sopimuksen mukaan;finnish;;http://paikat.te-palvelut.fi/tpt/9798829;26.12.2018;30.12.2018;27.12.2018;31.12.2018;00130 HELSINKI;Helsinki;00130;;13;;0;;1 Muu;;
Ajanvaraaja LVI-remonttimyyntiiin;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, 35-40h/vko, yli 12 kuukautta, Sopimuksen mukaan.;finnish;;http://paikat.te-palvelut.fi/tpt/9798889;26.12.2018;30.12.2018;27.12.2018;31.12.2018;65100 VAASA;Vaasa;65100;;7;;0;;1 Muu;;
Ajanvaraaja keittiöremonttimyyntiin;;;Henkilöstöpalvelu Hirmu oy;Rekrytointitoimeksianto, kokoaikatyö, 35-40h/vko, yli 12 kuukautta, Sopimuksen mukaan.;finnish;;http://paikat.te-palvelut.fi/tpt/9798887;26.12.2018;30.12.2018;27.12.2018;31.12.2018;65100 VAASA;Vaasa;65100;;11;;1;;1 Muu;;
Taksinkuljettaja;;;KL M. Larha Oy;kokoaikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798517;22.12.2018;31.12.2018;25.12.2018;01.01.2019;Marjaniementie 13 A, 00930 HELSINKI;Helsinki;00930;;15;;2;;1 Muu;;
Myyjä;;;Kokkolan Halpa-Halli Oy;muu osa-aikatyö, yli 12 kuukautta;finnish;;http://paikat.te-palvelut.fi/tpt/9798508;20.12.2018;28.12.2018;24.12.2018;29.12.2018;Oikotie 2, 61600 Jalasjärvi, 61160 KOURA;61600 - Jalasjärvi;61600;;129;;9;;1 Muu;;
